Kod,Nazev,Kategorie
E010,Difuzní (endemická) struma z jodové karence,Nemoci štítné žlázy a příštítných tělísek
E011,Mnohauzlová (endemická) struma z jodové karence,Nemoci štítné žlázy a příštítných tělísek
E012,Struma (endemická) z jodové karence NS,Nemoci štítné žlázy a příštítných tělísek
E018,Jiné poruchy štítné žlázy a příbuzné stavy spojené s jodovou karencí,Nemoci štítné žlázy a příštítných tělísek
E02,Subklinická hypotyreóza z jodové karence,Nemoci štítné žlázy a příštítných tělísek
E03,Jiná hypotyreóza,
E030,Vrozená hypotyreóza s difuzní strumou,Nemoci štítné žlázy a příštítných tělísek
E031,Vrozená hypotyreóza bez strumy,Nemoci štítné žlázy a příštítných tělísek
E032,Hypotyreóza způsobená léky a jinými zevními látkami,Nemoci štítné žlázy a příštítných tělísek
E033,Poinfekční hypotyreóza,Nemoci štítné žlázy a příštítných tělísek
E034,Získaná atrofie štítné žlázy,Nemoci štítné žlázy a příštítných tělísek
E035,Myxedémové kóma,Jiná onemocnění a poruchy nervové soustavy
E038,Jiná určená hypotyreóza,Nemoci štítné žlázy a příštítných tělísek
E039,Hypotyreóza NS,Nemoci štítné žlázy a příštítných tělísek
E04,Jiná netoxická struma,
E040,Difuzní netoxická struma,Nemoci štítné žlázy a příštítných tělísek
E041,Struma netoxická jednouzlová,Nemoci štítné žlázy a příštítných tělísek
E042,Struma netoxická mnohauzlová,Nemoci štítné žlázy a příštítných tělísek
E048,Jiná určená netoxická struma,Nemoci štítné žlázy a příštítných tělísek
E049,Netoxická struma NS,Nemoci štítné žlázy a příštítných tělísek
E05,Tyreotoxikóza (hypertyreóza),
E050,Tyreotoxikóza s difuzní strumou,Nemoci štítné žlázy a příštítných tělísek
E051,Tyreotoxikóza s toxickým tyroidálním uzlíkem,Nemoci štítné žlázy a příštítných tělísek
E052,Tyreotoxikóza s toxickou mnohauzlovou strumou,Nemoci štítné žlázy a příštítných tělísek
E053,Tyreotoxikóza z ektopické tyroidní tkáně,Nemoci štítné žlázy a příštítných tělísek
E054,Tyreotoxikóza uměle vyvolaná,Nemoci štítné žlázy a příštítných tělísek
E055,Tyroidní krize nebo bouře,Nemoci štítné žlázy a příštítných tělísek
E058,Jiná tyreotoxikóza se strumou nebo bez ní,Nemoci štítné žlázy a příštítných tělísek
E059,Tyreotoxikóza NS,Nemoci štítné žlázy a příštítných tělísek
E06,Zánět štítné žlázy [thyroiditis],
E060,Akutní tyroiditida,Nemoci štítné žlázy a příštítných tělísek
E061,Subakutní tyroiditida,Nemoci štítné žlázy a příštítných tělísek
E062,Chronická tyroiditida s přechodnou tyr(e)otoxikózou,Nemoci štítné žlázy a příštítných tělísek
E063,Autoimunitní tyroiditida,Nemoci štítné žlázy a příštítných tělísek
E064,Tyroiditida způsobená léky,Nemoci štítné žlázy a příštítných tělísek
E065,Jiná chronická tyroditida,Nemoci štítné žlázy a příštítných tělísek
E069,Tyroiditida NS,Nemoci štítné žlázy a příštítných tělísek
E07,Jiné poruchy štítné žlázy,
E070,Hypersekrece kalcitoninu,Nemoci štítné žlázy a příštítných tělísek
E071,Dyshormogenetická struma,Nemoci štítné žlázy a příštítných tělísek
E078,Jiné určené poruchy štítné žlázy,Nemoci štítné žlázy a příštítných tělísek
E079,Poruchy štítné žlázy NS,Nemoci štítné žlázy a příštítných tělísek
E10,Diabetes mellitus 1. typu,
E100,Diabetes mellitus 1. typu s kómatem,Diabetes mellitus
E101,Diabetes mellitus 1. typu s ketoacidózou,Diabetes mellitus
E102,Diabetes mellitus 1. typu s ledvinovými komplikacemi,Diabetes mellitus
E103,Diabetes mellitus 1. typu s očními komplikacemi,Diabetes mellitus
E104,Diabetes mellitus 1. typu s neurologickým komplikacemi,Diabetes mellitus
E105,Diabetes mellitus 1. typu s periferními oběhovými komplikacemi,Diabetes mellitus
E106,Diabetes mellitus 1. typu s jinými určenými komplikacemi,Diabetes mellitus
E107,Diabetes mellitus 1. typu s mnohočetnými komplikacemi,Diabetes mellitus
E108,Diabetes mellitus 1. typu s neurčenými komplikacemi,Diabetes mellitus
E109,Diabetes mellitus 1. typu bez komplikací,Diabetes mellitus
E11,Diabetes mellitus 2. typu,
E110,Diabetes mellitus 2. typu s kómatem,Diabetes mellitus
E111,Diabetes mellitus 2. typu s ketoacidózou,Diabetes mellitus
E112,Diabetes mellitus 2. typu s ledvinovými komplikacemi,Diabetes mellitus
E113,Diabetes mellitus 2. typu s očními komplikacemi,Diabetes mellitus
E114,Diabetes mellitus 2. typu s neurologickými komplikacemi,Diabetes mellitus
E115,Diabetes mellitus 2. typu s periferními oběhovými komplikacemi,Diabetes mellitus
E116,Diabetes mellitus 2. typu s jinými určenými komplikacemi,Diabetes mellitus
E117,Diabetes mellitus 2. typu s mnohočetnými komplikacemi,Diabetes mellitus
E118,Diabetes mellitus 2. typu s neurčenými komplikacemi,Diabetes mellitus
E119,Diabetes mellitus 2. typu bez komplikací,Diabetes mellitus
E12,Diabetes mellitus spojený s podvýživou,
E120,Diabetes mellitus spojený s podvýživou s kómatem,Diabetes mellitus
E121,Diabetes mellitus spojený s podvýživou s ketoacidózou,Diabetes mellitus
E122,Diabetes mellitus spojený s podvýživou s ledvinovými komplikacemi,Diabetes mellitus
E123,Diabetes mellitus spojený s podvýživou s očními komplikacemi,Diabetes mellitus
E124,Diabetes mellitus spojený s podvýživou s neurologickými komplikacemi,Diabetes mellitus
E125,Diabetes mellitus spojený s podvýživou s perifer. oběhov. komplikacemi,Diabetes mellitus
E126,Diabetes mellitus spojený s podvýživou s jinými určenými komplikacemi,Diabetes mellitus
E127,Diabetes mellitus spojený s podvýživou s mnohočetnými komplikacemi,Diabetes mellitus
E128,Diabetes mellitus spojený s podvýživou s neurčenými komplikacemi,Diabetes mellitus
E129,Diabetes mellitus spojený s podvýživou bez komplikací,Diabetes mellitus
E13,Jiný určený diabetes mellitus,
E130,Jiný určený diabetes mellitus s kómatem,Diabetes mellitus
E131,Jiný určený diabetes mellitus s ketoacidózou,Diabetes mellitus
E132,Jiný určený diabetes mellitus s ledvinovými komplikacemi,Diabetes mellitus
E133,Jiný určený diabetes mellitus s očními komplikacemi,Diabetes mellitus
E134,Jiný určený diabetes mellitus s neurologickými komplikacemi,Diabetes mellitus
E135,Jiný určený diabetes mellitus s periferními oběhovými komplikacemi,Diabetes mellitus
E136,Jiný určený diabetes mellitus s jinými určenými komplikacemi,Diabetes mellitus
E137,Jiný určený diabetes mellitus s mnohočetnými komplikacemi,Diabetes mellitus
E138,Jiný určený diabetes mellitus s neurčenými komplikacemi,Diabetes mellitus
E139,Jiný určený diabetes mellitus bez komplikací,Diabetes mellitus
E14,Neurčený diabetes mellitus,
E140,Neurčený diabetes mellitus s kómatem,Diabetes mellitus
E141,Neurčený diabetes mellitus s ketoacidózou,Diabetes mellitus
E142,Neurčený diabetes mellitus s ledvinovými komplikacemi,Diabetes mellitus
E143,Neurčený diabetes mellitus s očními komplikacemi,Diabetes mellitus
E144,Neurčený diabetes mellitus s neurologickými komplikacemi,Diabetes mellitus
E145,Neurčený diabetes mellitus s periferními oběhovými komplikacemi,Diabetes mellitus
E146,Neurčený diabetes mellitus s jinými určenými komplikacemi,Diabetes mellitus
E147,Neurčený diabetes mellitus s mnohočetnými komplikacemi,Diabetes mellitus
E148,Neurčený diabetes mellitus s neurčenými komplikacemi,Diabetes mellitus
E149,Neurčený diabetes mellitus bez komplikací,Diabetes mellitus
E15,Nediabetické hypoglykemické kóma,Jiné nemoci endokrinních žláz
E16,Jiné poruchy vnitřní sekrece slinivky břišní,
E160,Hypoglykemie bez kómatu‚ způsobená léky,Jiné nemoci endokrinních žláz
E161,Jiná hypoglykemie,Jiné nemoci endokrinních žláz
E162,Hypoglykemie NS,Jiné nemoci endokrinních žláz
E163,Zvýšená sekrece glukagonu,Jiné nemoci endokrinních žláz
E164,Abnormální sekrece gastrinu,Střevní malabsorpce
E168,Jiné určené poruchy vnitřní sekrece slinivky břišní,Jiné nemoci endokrinních žláz
E169,Poruchy vnitřní sekrece slinivky břišní NS,Jiné nemoci endokrinních žláz
E20,Hypoparatyreóza,
E200,Idiopatická hypoparatyreóza,Nemoci štítné žlázy a příštítných tělísek
E201,Pseudohypoparatyreóza,Nemoci štítné žlázy a příštítných tělísek
E208,Jiná hypoparatyreóza,Nemoci štítné žlázy a příštítných tělísek
E209,Hypoparatyreóza NS,Nemoci štítné žlázy a příštítných tělísek
E21,Hyperparatyreóza a jiné nemoci příštítných tělísek (paratyreoidey),
E210,Primární hyperparatyreóza,Nemoci štítné žlázy a příštítných tělísek
E211,Sekundární hyperparatyreóza nezařazená jinde,Nemoci štítné žlázy a příštítných tělísek
E212,Jiná hyperparatyreóza,Nemoci štítné žlázy a příštítných tělísek
E213,Hyperparatyreóza NS,Nemoci štítné žlázy a příštítných tělísek
E214,Jiné určené poruchy příštítné žlázy (příštítných tělísek),Nemoci štítné žlázy a příštítných tělísek
E215,Porucha příštítných tělísek (paratyreoidey) NS,Nemoci štítné žlázy a příštítných tělísek
E22,Hyperfunkce hypofýzy [glandulae pituitariae] – podvěsku mozkového,
E220,Akromegalie a pituitární gigantismus,Funkční poruchy hypofýzy
E221,Hyperprolaktinemie,Funkční poruchy hypofýzy
E222,Syndrom nepřiměřené sekrece antidiuretického hormonu,Funkční poruchy hypofýzy
E228,Jiná hyperfunkce hypofýzy,Funkční poruchy hypofýzy
E229,Hyperfunkce hypofýzy NS,Funkční poruchy hypofýzy
E23,Hypofunkce a jiné poruchy hypofýzy,
E230,Hypopituitarismus,Funkční poruchy hypofýzy
E231,Hypopituitarismus vyvolaný léky,Funkční poruchy hypofýzy
E232,Diabetes insipidus,Funkční poruchy hypofýzy
E233,Hypothalamická dysfunkce nezařazená jinde,Funkční poruchy hypofýzy
E236,Jiné poruchy podvěsku mozkového,Funkční poruchy hypofýzy
E237,Poruchy podvěsku mozkového NS,Funkční poruchy hypofýzy
E24,Cushingův syndrom,
E240,Cushingův syndrom závislý na hypofýze,Cushingův syndrom
E241,Nelsonův syndrom,Cushingův syndrom
E242,Cushingův syndrom způsobený léčivy,Cushingův syndrom
E243,Ektopický syndrom ACTH,Cushingův syndrom
E244,Pseudo-Cushingův syndrom navozený alkoholem,Cushingův syndrom
E248,Jiný Cushingův syndrom,Cushingův syndrom
E249,Cushingův syndrom NS,Cushingův syndrom
E25,Adrenogenitální poruchy,
E250,Vrozené adrenogenitální poruchy spojené s nedostatkem enzymů,Funkční poruchy nadledviny
E258,Jiné adrenogenitální poruchy,Funkční poruchy nadledviny
E259,Adrenogenitální porucha NS,Funkční poruchy nadledviny
E26,Hyperaldosteronismus,
E260,Primární hyperaldosteronismus,Funkční poruchy nadledviny
E261,Sekundární hyperaldosteronismus,Funkční poruchy nadledviny
E268,Jiný hyperaldosteronismus,Funkční poruchy nadledviny
E269,Hyperaldosteronismus NS,Funkční poruchy nadledviny
E27,Jiné poruchy nadledviny [glandulae suprarenalis],
E270,Jiná zvýšená aktivita kůry nadledvin,Funkční poruchy nadledviny
E271,Primární insuficience kůry nadledvin,Funkční poruchy nadledviny
E272,Addisonská krize,Funkční poruchy nadledviny
E273,Insuficience kůry nadledvin způsobená léčivy,Funkční poruchy nadledviny
E274,Jiná a neurčená adrenokortikální insuficience,Funkční poruchy nadledviny
E275,Hyperfunkce dřeně nadledvin,Funkční poruchy nadledviny
E278,Jiné určené poruchy nadledviny,Funkční poruchy nadledviny
E279,Porucha nadledviny NS,Funkční poruchy nadledviny
E28,Ovariální dysfunkce – poruchy činnosti vaječníků,
E280,Přebytek estrogenu,Funkční a strukturální poruchy děložních adnex
E281,Jiná ovariální hyperfunkce,Funkční a strukturální poruchy děložních adnex
E282,Syndrom polycystických vaječníků,Funkční a strukturální poruchy děložních adnex
E283,Primární selhání vaječníků,Funkční a strukturální poruchy děložních adnex
E288,Jiná ovariální dysfunkce,Funkční a strukturální poruchy děložních adnex
E289,Ovariální dysfunkce NS,Funkční a strukturální poruchy děložních adnex
E29,Testikulární dysfunkce – poruchy činnosti varlat,
E290,Testikulární hyperfunkce,"Funkční a strukturální poruchy šourku, varlat a testikulárních adnex"
E291,Testikulární hypofunkce,"Funkční a strukturální poruchy šourku, varlat a testikulárních adnex"
E298,Jiná testikulární dysfunkce,"Funkční a strukturální poruchy šourku, varlat a testikulárních adnex"
E299,Testikulární dysfunkce NS,"Funkční a strukturální poruchy šourku, varlat a testikulárních adnex"
E30,Poruchy pohlavního dospívání (puberty) nezařazené jinde,
E300,Opožděná puberta,Poruchy pohlavního a fyziologického vývoje
E301,Předčasná puberta,Poruchy pohlavního a fyziologického vývoje
E308,Jiné poruchy puberty,Poruchy pohlavního a fyziologického vývoje
E309,Poruchy puberty NS,Poruchy pohlavního a fyziologického vývoje
E31,Polyglandulární dysfunkce,
E310,Autoimunitní polyglandulární selhání,Jiné nemoci endokrinních žláz
E311,Polyglandulární hyperfunkce,Jiné nemoci endokrinních žláz
E318,Jiná polyglandulární dysfunkce,Jiné nemoci endokrinních žláz
E319,Polyglandulární dysfunkce NS,Jiné nemoci endokrinních žláz
E32,Nemoci brzlíku (thymu),
E320,Přetrvávající hyperplázie brzlíku [hyperplasia thymi persistens],Nemoci sleziny a brzlíku
E321,Absces brzlíku,Nemoci sleziny a brzlíku
E328,Jiné nemoci brzlíku,Nemoci sleziny a brzlíku
E329,Nemoc brzlíku NS,Nemoci sleziny a brzlíku
E34,Jiné endokrinní poruchy,
E340,Karcinoidní syndrom,
E341,Jiná hypersekrece střevních hormonů,Jiné nemoci endokrinních žláz
E342,Ektopická sekrece hormonů nezařazená jinde,Jiné nemoci endokrinních žláz
E343,Trpaslictví nezařazené jinde,Jiné nemoci endokrinních žláz
E344,Konstitucionální vysoká postava,Jiné nemoci endokrinních žláz
E345,Syndrom rezistence na androgeny,Jiné nemoci endokrinních žláz
E348,Jiné určené endokrinní poruchy,Jiné nemoci endokrinních žláz
E349,Endokrinní porucha NS,Jiné nemoci endokrinních žláz
E35,Poruchy žláz s vnitřní sekrecí při nemocech zařazených jinde,
E350,Poruchy štítné žlázy při nemocech zařazených jinde,Nemoci štítné žlázy a příštítných tělísek
E351,Poruchy nadledvin při nemocech zařazených jinde,Funkční poruchy nadledviny
E358,Poruchy jiných žláz s vnitřní sekrecí při nemocech zařazených jinde,Jiné nemoci endokrinních žláz
E40,Kwashiorkor,"Poruchy nutriční, metabolické a vnitřního prostředí"
E41,Nutriční marazmus,"Poruchy nutriční, metabolické a vnitřního prostředí"
E42,Marasmický kwashiorkor,"Poruchy nutriční, metabolické a vnitřního prostředí"
E43,Nespecifikovaná těžká protein-energetická podvýživa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E44,Protein-energetická podvýživa středního a lehkého stupně,
E440,Mírná (střední) protein-energetická podvýživa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E441,Lehká protein-energetická podvýživa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E45,Opožděný vývoj následující po protein-energetické podvýživě,"Poruchy nutriční, metabolické a vnitřního prostředí"
E46,Neurčená podvýživa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E50,Karence vitaminu A,
E500,Karence vitaminu A s xerózou spojivky,"Poruchy nutriční, metabolické a vnitřního prostředí"
E501,Karence vitaminu A s Bitotovou skvrnou a xerózou spojivky,"Poruchy nutriční, metabolické a vnitřního prostředí"
E502,Karence vitaminu A s xerózou rohovky,"Poruchy nutriční, metabolické a vnitřního prostředí"
E503,Karence vitaminu A s ulcerací rohovky a xerózou,"Poruchy nutriční, metabolické a vnitřního prostředí"
E504,Karence vitaminu A s keratomalacií,"Poruchy nutriční, metabolické a vnitřního prostředí"
E505,Karence vitaminu A se šeroslepostí,"Poruchy nutriční, metabolické a vnitřního prostředí"
E506,Karence vitaminu A s xeroftalmickými jizvami rohovky,"Poruchy nutriční, metabolické a vnitřního prostředí"
E507,Jiné oční projevy karence vitaminu A,"Poruchy nutriční, metabolické a vnitřního prostředí"
E508,Jiné projevy karence vitaminu A,"Poruchy nutriční, metabolické a vnitřního prostředí"
E509,Karence vitaminu A NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E51,Karence thiaminu,
E511,Beri-beri,"Poruchy nutriční, metabolické a vnitřního prostředí"
E512,Wernickeova encefalopatie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E518,Jiné projevy karence thiaminu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E519,Karence thiaminu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E52,Karence niacinu (pellagra),"Poruchy nutriční, metabolické a vnitřního prostředí"
E53,Karence jiných vitaminů skupiny B,
E530,Karence riboflavinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E531,Karence pyridoxinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E538,Karence jiných určených vitaminů skupiny B,"Poruchy nutriční, metabolické a vnitřního prostředí"
E539,Karence B vitaminu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E54,Karence kyseliny askorbové,"Poruchy nutriční, metabolické a vnitřního prostředí"
E55,Karence vitaminu D,
E550,Křivice‚ aktivní,Jiná onemocnění kostí
E559,Karence vitaminu D NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E56,Jiná karence vitaminů,
E560,Karence vitaminu E,"Poruchy nutriční, metabolické a vnitřního prostředí"
E561,Karence vitaminu K,"Poruchy nutriční, metabolické a vnitřního prostředí"
E568,Karence jiných vitaminů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E569,Karence vitaminu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E58,Nutriční karence vápníku,"Poruchy nutriční, metabolické a vnitřního prostředí"
E59,Nutriční karence selenu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E60,Nutriční karence zinku,"Poruchy nutriční, metabolické a vnitřního prostředí"
E61,Karence jiných prvků potravy,
E610,Karence mědi,"Poruchy nutriční, metabolické a vnitřního prostředí"
E611,Karence železa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E612,Karence hořčíku,"Poruchy nutriční, metabolické a vnitřního prostředí"
E613,Karence manganu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E614,Karence chromu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E615,Karence molybdenu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E616,Karence vanadu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E617,Karence více prvků potravy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E618,Karence jiných určených prvků potravy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E619,Karence prvků potravy NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E63,Jiné nutriční karence,
E630,Karence esenciálních mastných kyselin [EFA],"Poruchy nutriční, metabolické a vnitřního prostředí"
E631,Nerovnováha složek přijímané potravy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E638,Jiné určené nutriční karence,"Poruchy nutriční, metabolické a vnitřního prostředí"
E639,Nutriční karence NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E64,Následky podvýživy a jiných nutričních karencí,
E640,Následky protein-energetické podvýživy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E641,Následky karence vitaminu A,"Poruchy nutriční, metabolické a vnitřního prostředí"
E642,Následky karence vitaminu C,"Poruchy nutriční, metabolické a vnitřního prostředí"
E643,Následky křivice,"Symptomy, abnormální nálezy a neurčené poruchy muskuloskeletální soustavy a pojivových tkání"
E648,Následky jiných nutričních karencí,"Poruchy nutriční, metabolické a vnitřního prostředí"
E649,Následky neurčené nutriční karence,"Poruchy nutriční, metabolické a vnitřního prostředí"
E65,Lokalizovaná adipozita,Obezita
E66,Obezita – otylost,
E660,Obezita způsobená nadměrným příjmem kalorií,Obezita
E661,Obezita způsobená léky,Obezita
E662,Extrémní obezita s alveolární hypoventilací,Obezita
E668,Jiná obezita,Obezita
E669,Obezita NS,Obezita
E67,Jiné hyperalimentace,
E670,Hypervitaminóza A,"Poruchy nutriční, metabolické a vnitřního prostředí"
E671,Hyperkarotenemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E672,Syndrom nadbytku vitaminu B6,"Poruchy nutriční, metabolické a vnitřního prostředí"
E673,Hypervitaminóza D,"Poruchy nutriční, metabolické a vnitřního prostředí"
E678,Jiná určená hyperalimentace,"Poruchy nutriční, metabolické a vnitřního prostředí"
E68,Následky hyperalimentace,"Poruchy nutriční, metabolické a vnitřního prostředí"
E70,Poruchy metabolismu aromatických aminokyselin,
E700,Klasická fenylketonurie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E701,Jiné hyperfenylalaninemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E702,Poruchy metabolismu tyrosinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E703,Albinismus,"Poruchy nutriční, metabolické a vnitřního prostředí"
E708,Jiné poruchy metabolismu aromatických aminokyselin,"Poruchy nutriční, metabolické a vnitřního prostředí"
E709,Poruchy metabolismu aromatických aminokyselin NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E71,Poruchy metabol. aminokys. s rozvětv. řetěz.a metab. mastných kyselin,
E710,Nemoc javorového sirupu (Leucinóza),"Poruchy nutriční, metabolické a vnitřního prostředí"
E711,Jiné poruchy metabolismu aminokyselin s rozvětveným řetězcem,"Poruchy nutriční, metabolické a vnitřního prostředí"
E712,Porucha metabolismu aminokyselin s rozvětveným řetězcem NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E713,Poruchy metabolismu mastných kyselin,"Poruchy nutriční, metabolické a vnitřního prostředí"
E72,Jiné poruchy metabolismu aminokyselin,
E720,Poruchy transportu aminokyselin,"Poruchy nutriční, metabolické a vnitřního prostředí"
E721,Poruchy metabolismu aminokyselin nesoucích síru,"Poruchy nutriční, metabolické a vnitřního prostředí"
E722,Poruchy metabolismu cyklu močoviny,"Poruchy nutriční, metabolické a vnitřního prostředí"
E723,Poruchy metabolismu lyzinu a hydroxylyzinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E724,Poruchy metabolismu ornithinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E725,Poruchy metabolismu glycinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E728,Jiné určené poruchy metabolismu aminokyselin,"Poruchy nutriční, metabolické a vnitřního prostředí"
E729,Poruchy metabolismu aminokyselin NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E73,Laktózová intolerance,
E730,Vrozený nedostatek laktázy,Střevní malabsorpce
E731,Sekundární nedostatek laktázy,Střevní malabsorpce
E738,Jiná laktózová intolerance,Střevní malabsorpce
E739,Laktózová intolerance NS,Střevní malabsorpce
E74,Jiné poruchy metabolismu uhlovodanů,
E740,Porucha ukládání glykogenu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E741,Poruchy metabolismu fruktózy,Střevní malabsorpce
E742,Poruchy metabolismu galaktózy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E743,Jiné poruchy střevní absorpce uhlovodanů,Střevní malabsorpce
E744,Poruchy metabolismu pyrohroznanů a glukoneogenezy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E748,Jiné určené poruchy metabolismu uhlovodanů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E749,Poruchy metabolismu uhlovodanů NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E75,Poruchy metabolismu sfingolipidů a jiné poruchy ukládání lipidů,
E750,Gangliosidóza GM2,Jiná onemocnění a poruchy nervové soustavy
E751,Jiná gangliosidóza,Jiná onemocnění a poruchy nervové soustavy
E752,Jiná sfingolipidóza,"Poruchy nutriční, metabolické a vnitřního prostředí"
E753,Sfingolipidóza NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E754,Neuronální ceroidní lipofuscinóza (NCL),Jiná onemocnění a poruchy nervové soustavy
E755,Jiné poruchy ukládání lipidů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E756,Porucha ukládání lipidů NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E76,Poruchy metabolismu glykosaminoglykanu,
E760,Mukopolysacharidóza‚ typ I,"Poruchy nutriční, metabolické a vnitřního prostředí"
E761,Mukopolysacharidóza‚ typ II,"Poruchy nutriční, metabolické a vnitřního prostředí"
E762,Jiné mukopolysacharidózy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E763,Mukopolysacharidóza NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E768,Jiné poruchy metabolismu glykosaminoglykanu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E769,Porucha metabolismu glykosaminoglykanu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E77,Poruchy metabolismu glykoproteinů,
E770,Poruchy v potranslační modifikaci lyzozomálních enzymů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E771,Vady v odbourávání glykoproteinů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E778,Jiné poruchy metabolismu glykoproteinů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E779,Poruchy metabolismu glykoproteinů NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E78,Poruchy metabolismu lipoproteinů a jiné lipidemie,
E780,Čistá hypercholesterolemie,
E7801,Familiární hypercholesterolemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E7809,Hypercholesterolemie NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E781,Čistá hyperglyceridemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E782,Smíšená hyperlipidemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E783,Hyperchylomikronemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E784,Jiná hyperlipidemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E785,Hyperlipidemie NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E786,Nedostatek lipoproteinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E788,Jiné poruchy metabolismu lipoproteinů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E789,Porucha metabolismu lipoproteinů NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E79,Poruchy metabolismu purinu a pyrimidinu,
E790,Hyperurikemie bez známek zánětlivé artritidy a tofů,Jiná lékařská péče
E791,Leschův–Nyhanův syndrom,"Poruchy nutriční, metabolické a vnitřního prostředí"
E798,Jiné poruchy metabolismu purinu a pyrimidinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E799,Porucha metabolismu purinu a pyrimidinu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E80,Poruchy metabolismu porfyrinu a bilirubinu,
E800,Dědičná erytropoetická porfyrie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E801,Porfyria cutanea tarda,"Poruchy nutriční, metabolické a vnitřního prostředí"
E802,Jiná porfyrie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E803,Vady katalázy a peroxidázy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E804,Gilbertův syndrom,"Poruchy nutriční, metabolické a vnitřního prostředí"
E805,Criglerův–Najjarův syndrom,"Poruchy nutriční, metabolické a vnitřního prostředí"
E806,Jiné poruchy metabolismu bilirubinu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E807,Poruchy metabolismu bilirubinu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E83,Poruchy metabolismu minerálů,
E830,Poruchy metabolismu mědi,"Poruchy nutriční, metabolické a vnitřního prostředí"
E831,Poruchy metabolismu železa,"Poruchy nutriční, metabolické a vnitřního prostředí"
E832,Poruchy metabolismu zinku,"Poruchy nutriční, metabolické a vnitřního prostředí"
E833,Poruchy metabolismu fosforu a fosfatáz,"Poruchy nutriční, metabolické a vnitřního prostředí"
E834,Poruchy metabolismu hořčíku,"Poruchy nutriční, metabolické a vnitřního prostředí"
